id,tag,level,question_kr,question_en
1,영화 보기,4,최근에 본 영화에 대해 이야기해주세요.,Tell me about a movie you watched recently.
2,음악 감상하기,5,좋아하는 음악 장르에 대해 말해보세요.,Tell me about your favorite music genre.
3,자전거,6,자전거를 주로 어디서 타시나요?,Where do you usually ride your bicycle?
4,수영,4,수영을 배운 적이 있나요?,Have you ever learned how to swim?
5,수영,4,수영을 얼마나 자주 하나요?,How often do you go swimming?
6,수영,4,어디서 수영하는 걸 좋아하나요?,Where do you usually swim?
7,수영,4,수영장과 해변 중 어느 곳을 더 좋아하나요?,Do you prefer swimming in a pool or at the beach?
8,수영,4,수영을 시작하게 된 계기는 무엇인가요?,Why did you start swimming?
9,수영,5,수영하면서 있었던 기억에 남는 경험이 있나요?,Do you have a memorable experience related to swimming?
10,수영,5,수영이 당신의 건강에 어떤 도움이 되었다고 생각하나요?,How do you think swimming has helped your health?
11,수영,5,수영을 할 때 가장 좋아하는 스타일은 무엇인가요?,What is your favorite swimming style?
12,수영,5,수영을 통해 느끼는 가장 큰 장점은 무엇인가요?,What is the biggest benefit you get from swimming?
13,수영,5,수영 외에 즐겨 하는 수상 활동은 무엇인가요?,"Besides swimming, what other water activities do you enjoy?"
14,수영,6,수영을 처음 배웠을 때의 기억을 자세히 설명해보세요.,Describe in detail how you first learned to swim.
15,수영,6,"가장 기억에 남는 수영 장소는 어디였고, 누구와 갔으며 왜 기억에 남나요?","Where was the most memorable place you swam, who were you with, and why is it memorable?"
16,수영,6,수영을 하면서 느낀 성취감이나 도전 경험에 대해 말해주세요.,Talk about a time you felt accomplished or challenged while swimming.
17,수영,6,수영을 하면서 생긴 부상이나 위험했던 순간이 있다면 설명해주세요.,Describe any injury or dangerous moment you experienced while swimming.
18,수영,6,수영이 삶의 스트레스를 줄이는 데 어떤 영향을 주는지 설명해주세요.,Explain how swimming helps reduce stress in your life.
19,음악 감상하기,4,하루 중 언제 음악을 가장 자주 듣나요?,When do you usually listen to music during the day?
20,음악 감상하기,4,주로 어떤 장르의 음악을 좋아하나요?,What genre of music do you prefer?
21,음악 감상하기,4,음악을 어디에서 주로 듣나요?,Where do you usually listen to music?
22,음악 감상하기,4,음악을 들을 때 사용하는 기기가 있나요?,What device do you use to listen to music?
23,음악 감상하기,4,"음악을 혼자 듣는 걸 좋아하나요, 다른 사람과 함께 듣는 걸 좋아하나요?",Do you prefer listening to music alone or with others?
24,음악 감상하기,5,음악이 당신의 기분에 어떤 영향을 주나요?,How does music affect your mood?
25,음악 감상하기,5,특별한 상황이나 감정일 때 듣는 음악이 있나요?,Do you have specific music you listen to in certain situations or moods?
26,음악 감상하기,5,좋아하는 가수나 밴드에 대해 이야기해주세요.,Tell me about your favorite singer or band.
27,음악 감상하기,5,실시간 스트리밍 서비스와 음반 중 어떤 것을 선호하나요?,Do you prefer music streaming services or physical albums?
28,음악 감상하기,5,음악 감상을 통해 얻는 가장 큰 만족감은 무엇인가요?,What is the greatest satisfaction you get from listening to music?
29,음악 감상하기,6,음악 감상을 통해 위로받았던 기억이 있다면 말해주세요.,Share a time when music comforted you.
30,음악 감상하기,6,음악을 감상하면서 감정이 바뀌었던 경험에 대해 자세히 설명해주세요.,Describe in detail a time when your emotions changed through music.
31,음악 감상하기,6,다른 사람에게 음악을 추천해본 경험이 있다면 어떤 곡이었고 왜였나요?,Have you ever recommended music to someone? What song and why?
32,음악 감상하기,6,음악이 당신의 일상에 미치는 영향에 대해 설명해주세요.,Explain how music influences your daily life.
33,음악 감상하기,6,음악 감상이 스트레스 해소에 어떤 역할을 한다고 생각하나요?,What role does music play in relieving your stress?
34,영화 보기,4,최근에 본 영화 제목은 무엇인가요?,What is the title of the movie you watched recently?
35,영화 보기,4,영화를 보러 얼마나 자주 가나요?,How often do you go to the movies?
36,영화 보기,4,어떤 장르의 영화를 가장 좋아하나요?,What genre of movies do you like the most?
37,영화 보기,4,"혼자 보는 걸 선호하나요, 함께 보는 걸 선호하나요?",Do you prefer watching movies alone or with others?
38,영화 보기,4,영화관과 스트리밍 중 어느 것을 선호하나요?,Do you prefer movie theaters or streaming services?
39,영화 보기,5,기억에 남는 영화 한 편에 대해 이야기해주세요.,Tell me about a movie that left a strong impression on you.
40,영화 보기,5,좋아하는 배우가 있다면 누구인가요? 이유는요?,"Who is your favorite actor or actress, and why?"
41,영화 보기,5,최근에 본 영화에서 인상 깊었던 장면은 무엇이었나요?,What was the most impressive scene from a recent movie?
42,영화 보기,5,영화를 통해 어떤 감정을 느끼나요?,What kind of emotions do you feel when watching movies?
43,영화 보기,5,외국 영화를 자주 보시나요? 언어 장벽은 없었나요?,Do you often watch foreign films? Was the language a barrier?
44,영화 보기,6,어떤 영화가 당신의 인생에 영향을 주었나요? 구체적으로 설명해주세요.,"Which movie influenced your life, and how?"
45,영화 보기,6,영화를 통해 배운 교훈이나 메시지가 있다면 무엇인가요?,What lesson or message have you learned from a movie?
46,영화 보기,6,최근에 본 영화의 결말이 만족스러웠나요? 왜 그렇게 생각하나요?,Were you satisfied with the ending of a recent movie? Why or why not?
47,영화 보기,6,같은 영화를 반복해서 본 적이 있나요? 왜 다시 봤나요?,Have you ever watched the same movie multiple times? Why?
